sample,time_us,amplitude
933,23.325,0.001953125
934,23.35,0.001708984375
935,23.375,0.001708984375
936,23.4,0.001708984375
937,23.425,0.001708984375
938,23.45,0.001953125
939,23.475,0.001953125
940,23.5,0.001953125
941,23.525,0.001953125
942,23.55,0.001953125
943,23.575,0.001708984375
944,23.6,0.001953125
945,23.625,0.001953125
946,23.65,0.001953125
947,23.675,0.001953125
948,23.7,0.001708984375
949,23.725,0.001708984375
950,23.75,0.00146484375
951,23.775,0.002197265625
952,23.8,0.002197265625
953,23.825,0.001953125
954,23.85,0.001953125
955,23.875,0.001708984375
956,23.9,0.001953125
957,23.925,0.002197265625
958,23.95,0.002197265625
959,23.975,0.001953125
960,24.0,0.001953125
961,24.025,0.001953125
962,24.05,0.001708984375
963,24.075,0.001953125
964,24.1,0.001953125
965,24.125,0.001953125
966,24.15,0.002197265625
967,24.175,0.001708984375
968,24.2,0.001708984375
969,24.225,0.001708984375
970,24.25,0.001708984375
971,24.275,0.001708984375
972,24.3,0.001708984375
973,24.325,0.001708984375
974,24.35,0.001953125
975,24.375,0.001953125
976,24.4,0.001953125
977,24.425,0.001708984375
978,24.45,0.001708984375
979,24.475,0.001708984375
980,24.5,0.001953125
981,24.525,0.001953125
982,24.55,0.001708984375
983,24.575,0.001953125
984,24.6,0.001708984375
985,24.625,0.001953125
986,24.65,0.001953125
987,24.675,0.001953125
988,24.7,0.001953125
989,24.725,0.001953125
990,24.75,0.001708984375
991,24.775,0.001953125
992,24.8,0.00146484375
993,24.825,0.001708984375
994,24.85,0.001708984375
995,24.875,0.001953125
996,24.9,0.001708984375
997,24.925,0.001708984375
998,24.95,0.001708984375
999,24.975,0.001953125
1000,25.0,0.001708984375
1001,25.025,0.001953125
1002,25.05,0.001708984375
1003,25.075,0.001953125
1004,25.1,0.001708984375
1005,25.125,0.001708984375
1006,25.15,0.001708984375
1007,25.175,0.001708984375
1008,25.2,0.00146484375
1009,25.225,0.001708984375
1010,25.25,0.00146484375
1011,25.275,0.001708984375
1012,25.3,0.001708984375
1013,25.325,0.001708984375
1014,25.35,0.001708984375
1015,25.375,0.00146484375
1016,25.4,0.001953125
1017,25.425,0.001220703125
1018,25.45,0.001708984375
1019,25.475,0.001708984375
1020,25.5,0.001953125
1021,25.525,0.001708984375
1022,25.55,0.001708984375
1023,25.575,0.001708984375
1024,25.6,0.001953125
1025,25.625,0.001708984375
1026,25.65,0.001708984375
1027,25.675,0.001708984375
1028,25.7,0.001708984375
1029,25.725,0.001708984375
1030,25.75,0.001708984375
1031,25.775,0.001708984375
1032,25.8,0.00146484375
1033,25.825,0.001708984375
1034,25.85,0.00146484375
1035,25.875,0.001708984375
1036,25.9,0.001708984375
1037,25.925,0.001708984375
1038,25.95,0.001708984375
1039,25.975,0.001708984375
1040,26.0,0.001220703125
1041,26.025,0.001708984375
1042,26.05,0.001708984375
1043,26.075,0.00146484375
1044,26.1,0.001708984375
1045,26.125,0.00146484375
1046,26.15,0.001708984375
1047,26.175,0.00146484375
1048,26.2,0.00146484375
1049,26.225,0.00146484375
1050,26.25,0.001708984375
1051,26.275,0.00146484375
1052,26.3,0.001708984375
1053,26.325,0.00146484375
1054,26.35,0.001708984375
1055,26.375,0.00146484375
1056,26.4,0.001708984375
1057,26.425,0.00146484375
1058,26.45,0.001708984375
1059,26.475,0.00146484375
1060,26.5,0.00146484375
1061,26.525,0.001953125
1062,26.55,0.001220703125
1063,26.575,0.00146484375
